aa	工	式	芽	戒	匿	苷	葚	甙	苣
cv	艰	艰苦	艰难	艰辛	艰巨	艰险			
cw	难	皴	逡	难以	难题	难度	通信网	难点	通货膨胀
cx	对比度	又红又专	通缉令						
cy	叉	蚤	通讯员	参议院	参谋长	通讯系统	通讯社	通讯网络	圣诞节
da	左	砌	砸	磺	碟	厮	礴	砑	砹
db	顾	础	厄	耷	有限公司	顾客	顾问	有限的	太阳能
dc	友	雄	码	肆	髯	髡	髦	鬓	髫
dd	大	套	碱	厌	厦	硕	磊	砺	靥
de	胡	有	历	郁	硼	夯	鹕	有关	有的
df	夺	压	奔	硅	辱	奈	夸	唇	辰
dg	三	研	石	感	厂	古	威	硬	励
dh	还	在	不	存	破	否	丰	夏	歪
di	耗	耕	砂	硝	泵	耙	耦	耘	耠
dj	百	厚	厘	碍	奄	砷	碣	鹌	大量的
dk	右	夼	有中国特色社会主义	历史的	历史上	成员国	大中型企业	大中型	大中城市
dl	奋	厍	砗	㎎	㎏	㎜	㎝	㎞	㎡
dm	面	而	布	耐	碳	页	碘	耍	碉
dn	成	盛	尤	臧	碾	尴	尬	嘏	砀
do	矿	灰	磷	盔	不断提高	不断地	不断发展	不断扩大	不断增加
dp	达	碗	牵	砣	碹	碇	达到	研究所	研究院
dq	克	确	砍	兢	矽	砥	磔	鸪	确定
dr	原	愿	爽	碑	斫	原因	原则	原来	原料
ds	厅	奇	厢	硒	碴	剞	欹	有可能	不可能
dt	故	帮	邦	寿	砾	焘	硌	砭	砟
du	磁	碰	辜	厥	磋	碚	鹩	砬	劂
dv	碌	厩	友好合作关系	友好关系	友好合作	友好访问	友好往来	大刀阔斧	大好事
dw	春	秦	泰	奏	奉	礁	雁	蠢	硷
dx	龙	袭	垄	戊	聋	龚	砩	砒	砻
dy	太	态	硫	碎	丈	犬	磅	飙	戍
ea	毁	膜	腊	腻	朦	肛	胨	貘	舁
eb	服	乳	孚	郛	服务	服装	服用	采取措施	服从
ec	肥	胎	胫	肥料	驾驶员	胎儿	肥胖	肥力	肥沃
ed	须	胚	胧	肱	肽	胯	腼	貊	腌
ee	月	朋	胁	鹏	肋	舀	勰	腴	脬
ef	脚	肚	膨	肤	肝	肢	脖	肘	豺
eg	且	县	助	悬	肺	膊	脯	腈	爰
eh	用	胪	腓	叟	胩	用户	用于	用来	用电
ei	膛	盥	胱	加油站	办学条件	助学金	爱沙尼亚	胆小怕事	胆小如鼠
ej	胆	腥	刖	胂	腽	胆识	胆略	胆子	胆量
ek	加	架	贺	驾	肿	迦	臊	哿	袈
el	舅	舆	爵	腮	胭	胛	舆论	爱国主义	爱国主义教育
em	觅	腆	爨	肭	胴	璺	爱岗敬业	觅食	受贿罪
en	力	肠	鼠	甩	鼹	脲	鼷	鼯	鼢
eo	脏	腑	脒	膦	臁	脏话	毇	腅	膅
ep	边	受	爱	腔	胺	腕	舜	脓	腚
eq	胸	胞	脆	豹	朐	舄	肷	胝	爱尔兰
er	貌	遥	脾	腺	繇	鹞	邈	胍	脎
es	采	彩	腰	膝	膘	采用	采取	采访	彩色
et	胜	胀	腹	胳	貉	臼	豸	貔	彡
eu	脱	腾	胖	膳	臆	滕	媵	塍	胼
ev	妥	腿	貂	腱	爱好者	妥善	妥协	办好事	爱好和平
ew	办	脸	股	肌	脍	臾	腧	胗	脞
ex	脂	奚	加强了	脂肪	脱颖而出	加强管理	加强合作	加强领导	加强监督
ey	脑	胶	脉	膀	肪	腋	肮	臃	脐
fa	域	塔	霸	堪	卉	堰	霰	贲	堞
fb	地	圾	邗	地区	地方	地址	地位	地球	地质
fc	去	动	运	支	却	云	埃	魂	劫
fd	城	需	坏	震	坯	垮	雳	塬	垅
fe	协	霓	霾	埒	堋	协议	协会	协调	增加了
ff	土	封	款	圭	填	墙	寺	堵	坛
fg	二	十	干	士	雨	寸	埔	博	坪
fh	起	直	真	走	越	武	超	盐	赵
fi	示	未	霄	霈	嫠	霪	墚	未来	示范
fj	进	朝	坦	井	刊	韩	埋	堤	乾
fk	喜	露	鼓	袁	吉	彭	嘉	熹	哉
fl	载	雷	戴	塄	直辖市	载体	雷达	十四大	雷锋
fm	南	献	坝	坍	垌	垲	南京	南方	南非
fn	志	场	声	专	块	卖	违	亏	霞
fo	赤	赫	塘	郝	赦	赭	圹	螫	赧
fp	过	索	壳	壶	勃	懿	坨	壹	垸
fq	无	元	远	均	顽	坎	雹	坞	鼋
fr	垢	坂	圻	坼	埤	支持下	老年人	二氧化碳	直接影响
fs	霜	栽	霖	坷	堙	栽培	吉林省	规模最大	动植物
ft	才	都	者	老	教	考	雾	煮	霉
fu	增	境	培	幸	丧	霎	垃	啬	增加
fv	雪	垠	埽	埭	超媒体	封建迷信	雪山	干群关系	雪花
fw	夫	规	零	替	堆	截	霍	埠	垛
fx	盏	戋	坳	坶	无线电	无线通信	教练员	无线网	城乡居民
fy	裁	壤	坑	坊	坟	雯	墩	壕	霭
ga	开	形	型	刑	弄	邢	琪	瑾	瑛
gb	击	顿	屯	珥	互联网	副院长	击败	顿时	现阶段
gc	到	至	致	玛	臻	郅	至今	至少	致富
gd	天	环	吞	蚕	琦	瑚	珑	顼	忝
ge	表	青	逐	静	甫	敷	瑶	靛	豕
gf	于	玩	迂	玮	盂	珐	于是	环境保护	环境污染
gg	五	一	王	球	琴	瑟	琢	琶	琵
gh	下	政	正	玻	焉	璨	丐	玷	琥
gi	求	救	琐	裘	逑	政治局委员	政治局常委	求婚	青少年
gj	理	更	惠	亘	丌	瑁	琨	理论	更多
gk	事	带	整	速	副	束	豆	融	逼
gl	画	柬	琏	画面	两国关系	一国两制	两国人民	画家	画册
gm	现	两	再	责	遭	刺	瑞	丽	丙
gn	与	瓦	瑕	欤	珉	琚	开发区	与其	开展了
go	来	严	亚	灭	恶	晋	戬	璞	瑭
gp	琛	琬	琮	珲	一定的	一定要	事实上	一定会	一定能够
gq	万	列	死	烈	裂	残	殊	殖	迈
gr	珠	碧	瑰	珀	珠海	天气预报	青年人	一年来	一把手
gs	末	琳	珂	玎	亍	═	║	╒	╓
gt	麦	玫	瓒	珩	珞	璁	一系列	严重的	副委员长
gu	平	夹	颊	璋	郏	平台	平均	万美元	一部分
gv	妻	瑙	更好地	妻子	开始了	开始实施	一如既往	开始进行	严肃处理
gw	珍	玲	瑜	玳	玑	玢	现代化	一体化	现代化建设
gx	互	素	毒	夷	纛	素质	互相	毒品	互补
gy	玉	班	璃	斑	琼	琅	琉	璇	玟
ha	虑	彪	虚	虎	虏	瞒	虐	眶	虞
hb	￥	＄	￡	￠	眲	齓	齕	齖	齗
hc	皮	颇	眸	睃	眙	攴	皮肤	颇有	颇具
hd	非	悲	辈	裴	韭	翡	蜚	斐	睚
he	肯	瞬	睬	睨	瞍	肯定	瞬间	瞬时	卡脖子
hf	歧	睹	睦	瞌	眭	歧视	此起彼伏	歧途	瞌睡
hg	上	督	卡	睛	叔	凸	睫	盹	眄
hh	止	目	步	频	卜	瞿	矍	眦	氍
hi	瞠	眇	上海市	非常重要	非洲国家	非常重视	柴油机	非常好	非常高兴
hj	旧	桌	卓	桌面	卓越	桌子	卢旺达	卓著	此时此刻
hk	占	点	战	乩	觇	战略	占有	战争	战士
hl	卤	鹾	战略的	战略性	战略目标	战略方针	战略决策	战略任务	战略地位
hm	贞	卣	非同寻常	上山下乡	非同一般	眼见为实	非同小可	上岗培训	非同以往
hn	卢	鼎	眠	凹	颅	瞩	瞰	鸬	兕
ho	眯	瞵	柴米油盐	虚度年华	歯	睒	瞊	瞨	矌
hp	瞎	壑	眈	瞑	睿	肯定是	旧社会	瞎子	非官方
hq	餐	睁	瞻	眺	粲	眵	餐厅	餐馆	紫外线
hr	睥	目的地	虚拟现实	目的性	虚拟空间	瞎指挥	上年增加	虚拟技术	上气不接下气
hs	盯	瞟	上述问题	目标管理	目标责任制	盯住	紫禁城	非机动车	上述条件
ht	睡	瞅	眨	上升到	具备了	睡眠	睡觉	瞬息万变	具备条件
hu	瞳	睇	目前的	上半年	战斗力	战斗机	上门服务	占总数的	上半场
hv	眼	眼睛	眼前	眼光	眼下	眼镜	眼科	眼看	眼泪
hw	具	齿	龄	瞧	盼	瞪	睽	龋	睑
hx	此	些	柴	紫	雌	訾	觜	赀	砦
hy	眩	上市公司	占主导地位	步调一致	眼高手低	上帝啊	盳	盿	眆
ia	江	满	洪	港	汇	灌	鸿	浇	渠
ib	池	涵	汲	滁	洱	滠	凼	泐	涉及到
ic	汉	治	泽	涌	滩	渗	浚	泾	汊
id	尖	源	湖	涛	沥	淹	汰	涯	沣
ie	肖	削	浮	溪	滔	淫	逍	沮	淝
if	法	渤	潮	汗	潜	洁	污	浅	尘
ig	光	清	举	兴	辉	添	耀	誉	汪
ih	小	波	涉	泪	婆	沾	淑	滤	渺
ii	水	消	沙	淌	娑	淼	裟	鲨	挲
ij	温	混	湿	漫	滥	浊	渴	涅	瀑
ik	溃	澡	涓	涡	潞	浞	渑	漶	党中央
il	渐	渭	泗	涸	涟	洄	漯	泅	洇
im	油	测	尚	滑	洞	敞	溅	湍	汕
in	泥	汤	漏	泼	烫	汛	渥	泌	沁
io	淡	渡	濂	漉	溏	瀵	少数民族	辉煌的	淡水
ip	学	党	常	深	觉	溶	演	掌	沉
iq	沟	泡	渔	溜	淘	漪	涣	汐	洮
ir	派	激	汽	浙	淆	汹	沂	泊	湃
is	河	酒	漆	漂	湘	淋	洒	渣	潭
it	少	活	海	省	泛	洗	洛	浩	劣
iu	洋	润	滋	溢	泣	澜	涧	溯	涕
iv	当	染	津	梁	浸	溉	粱	汝	沼
iw	没	沿	涂	淮	澄	浴	脊	雀	沦
ix	涨	沸	溺	潍	泓	消费者	党组织	潍坊	消费品
iy	流	济	注	液	洲	游	湾	浪	滚
ja	暴	晓	蜡	虹	蝶	蚜	蟆	蟒	蜮
jb	最	蜢	最近	最后	最终	最大	最高	最新	最佳
jc	紧	坚	贤	竖	蚂	肾	蛹	蛏	蛑
jd	晨	蝴	晟	蚌	蛎	蛄	蝽	螈	蝰
je	明	盟	暖	蛆	暧	蜉	螋	明显	明年
jf	时	里	早	野	旱	昙	暑	昧	蠕
jg	量	是	题	师	旦	旺	晴	匙	蛭
jh	申	虫	冒	畅	曰	勖	蠼	刂	＃
ji	晃	螳	蛸	日常生活	最小的	日常工作	晃动	最深刻	旱涝保收
jj	日	晶	昌	蝎	曝	蜴	蜾	蛳	日本
jk	蝇	蜗	蜈	影响力	影响很大	日喀则	曼哈顿	紧跟时代	影响极坏
jl	曙	螺	曼	蝈	蛊	蛔	是因为	曼谷	曙光
jm	遇	映	帅	愚	禺	蛐	蚬	蚋	蚺
jn	电	暇	昵	虬	遢	曜	电脑	电子	电话
jo	显	旷	蝼	炅	螗	蠊	显示	显著	显得
jp	晕	蛇	蜿	晖	晏	暄	螟	暝	电视机
jq	晚	易	昂	歇	剔	冕	遏	晁	曷
jr	蝗	蛛	蚯	昕	蜱	坚持不懈	紧迫感	电气化	紧接着
js	果	颗	晒	晰	杲	蚵	蜥	螵	夥
jt	昨	星	临	监	鉴	览	蜂	戥	晌
ju	暗	蜕	曦	蝉	蜷	蝤	昱	蟑	蚪
jv	归	照	昭	旯	照应	照片	最好的	照相	照顾
jw	蛤	暹	蚣	晗	暌	蛉	蜍	晔	虮
jx	昆	曳	蚓	蚍	蚴	昆明	昆虫	昆仑	最终实现
jy	景	影	蚊	晾	蚁	蛟	蝙	蛀	螃
ka	呀	哎	哄	噶	呕	嘶	嗬	嗒	唠
kb	啊	吸	吼	叩	咄	嗤	戢	嗫	吸收
kc	吧	吗	叹	唉	嗓	唆	邑	吮	嗵
kd	顺	喊	呖	咕	哒	嘎	呃	咙	吠
ke	另	别	咖	嚼	咀	鹃	嗳	嗖	叻
kf	叶	味	喷	吐	哇	嘲	鄙	嘻	喃
kg	号	吴	吨	呈	吓	吁	哑	喇	逞
kh	中	路	足	跟	贵	距	跑	践	遗
ki	吵	哨	嗨	唢	啵	咣	中小企业	中小学	中小型
kj	虽	唱	喝	哩	呻	喁	嘬	黾	虽然
kk	吕	品	口	器	哭	串	患	骂	鄂
kl	喂	咽	嘿	嗯	喟	呷	啭	中国的	中国人
km	员	吊	勋	喘	嗣	呐	呗	嘤	嘣
kn	叫	呢	哪	嘱	叼	喔	唰	噼	吣
ko	嘛	咪	噗	喽	啖	顺应了	顺应潮流	中庸之道	吙
kp	喧	喀	咛	哝	噻	咤	嘧	嚓	啶
kq	兄	吹	鸣	唤	吻	呜	噜	哆	咆
kr	听	史	啦	啤	啪	嗥	呱	唏	哌
ks	呆	呵	叮	喳	噤	嘌	哂	啉	中西医结合
kt	吃	响	呼	川	咱	哦	咋	咯	噢
ku	噫	嗟	喑	嗌	吖	咩	噌	唼	嗍
kv	啸	唧	叨	呶	哏	号召力	嗜好成癖	叧	吚
kw	只	哈	唯	啥	吟	喉	叭	哗	喻
kx	哟	吆	哔	咝	吡	叱	喙	吲	呦
ky	咬	嚷	哼	咳	咏	吭	啼	嘀	唁
la	羁	轼	轻工业	国营企业	轻工部	轻工业部	轻工产品	四项基本原则	羁绊
lb	辄	囝	墼	国际市场	国际上	国际社会	国际先进水平	国际化	国际标准
lc	轻	轰	辍	Α	Β	Γ	Δ	Ε	Ζ
ld	因	固	恩	畴	畸	轭	轱	囿	罘
le	男	胃	嬲	男子	男女	男性	男人	男篮	男孩
lf	团	转	围	黑	置	园	罢	墨	默
lg	车	国	辅	辆	畏	辐	囤	圃	圄
lh	四	罪	甲	罩	皿	轳	囗	四川	四十
li	〇	圆满完成	圆满成功	圆满结束	车水马龙	输油管	圆满解决	输油管线	罚没款
lj	辊	回归祖国	连日来	圆明园	因果关系	畼	罼	輠	輰
lk	回	圆	辑	轵	軎	回归	回答	回到	回收
ll	田	圜	田径	田间	田野	轰轰烈烈	默默无闻	田里	田园
lm	轴	辋	Α	Β	Γ	Δ	Ε	Ζ	Η
ln	思	轧	辗	罹	思想	国民经济	思路	图书馆	思维
lo	辘	辚	国库券	转业干部	国庆节	转业军人	国庆日	软磨硬泡	黑灯瞎火
lp	连	辖	畹	连接	连续	国家科委	国家级	国家和地区	国家教委
lq	罗	软	鸭	逻	蜀	囫	软件	逻辑	软盘
lr	斩	暂	堑	轶	畈	錾	椠	暂时	暂停
ls	困	轲	町	困难	墨西哥	困境	困扰	思想政治工作	思想道德
lt	图	略	轿	轹	畋	辂	轷	略加	国务院
lu	圈	畔	疃	罾	国产化	圈子	车间主任	田间管理	轻装上阵
lv	轨	辎	囡	轫	轺	轨道	较好地	轨迹	男女老少
lw	界	输	轮	囚	轸	囹	囵	畛	辁
lx	累	毗	辔	累计	连续性	团结奋斗	团结一致	毗邻	累累
ly	较	罚	辙	詈	较高	较大	较好	较为	较多
ma	曲	典	贼	嵌	岖	嵘	崂	岽	岈
mb	邮	岌	邮编	邮电	邮件	邮政	邮票	邮局	邮购
mc	峻	贻	峄	岜	贻误	峻岭	刚柔相济	由难到易	峅
md	央	岸	岩	炭	崖	贿	崎	盎	赈
me	骨	崩	髓	骸	骼	胄	鹘	髀	髋
mf	周	财	赋	雕	贱	岐	赌	赎	冉
mg	峡	同	屿	崃	豳	赇	赙	岍	同时
mh	由	幅	贝	贴	帽	帐	巾	帜	帕
mi	峭	嵴	山海关	峭壁	山清水秀	丹江口	由浅入深	山洪暴发	崇洋媚外
mj	则	赐	岿	邮电部	邮电局	则有	邮电通信	同日而语	邮电业
mk	迥	贶	幅员辽阔	同呼吸	山呼海啸	贼喊捉贼	冋	岲	崿
ml	崭	崽	岬	崮	周恩来	崭新	周围环境	周转量	峰回路转
mm	山	岗	册	婴	删	峒	鹦	岫	罂
mn	岂	凯	觊	崛	岷	赆	嵋	剀	屺
mo	赃	嶙	赕	嵝	同类产品	内燃机车	赃款	赃物	同业公会
mp	迪	贮	崇	崆	崇高	贮存	崇尚	贮藏	内容丰富
mq	见	岁	购	赡	峥	峋	刿	岣	峁
mr	刚	网	冈	贩	嵬	崤	网络	网上	刚刚
ms	岢	崧	崾	山西省	同样的	由西向东	内查外调	见机行事	崊
mt	败	峰	账	贬	巍	赂	屹	嵊	峨
mu	赠	赔	赚	罔	嶂	嵯	嵫	赔偿	赠送
mv	见好就收	由始至终	屶	屻	岃	岹	峍	峎	峮
mw	内	肉	岭	崔	岚	岑	峪	赊	嶝
mx	幽	嶷	网络管理	网络技术	网络服务器	幽默	网络安全	同比增长	网络资源
my	丹	嵩	彤	崞	赅	丹麦	见义勇为	丹东	由衷地
na	展	民	异	懂	惜	慌	殿	屉	羿
nb	敢	屈	慑	憨	屙	孱	敢于	发出通知	发出了
nc	怪	惨	怡	悛	怿	性能价格比	惨重	惨遭	惨痛
nd	居	剧	怀	恢	忧	怖	憾	惰	恹
ne	心脏病	必须坚持	必须是	民用航空	必须具有	必须按照	必须符合	必须注意	民办教师
nf	导	层	迅	愤	慰	慎	屠	尉	怯
ng	那	情	司	屋	悟	恒	懒	怔	刁
nh	收	蛋	眉	疏	丑	惧	悼	胥	遐
ni	尿	悄	屑	恍	犀	惝	迟浩田	尿素	悄悄
nj	慢	惕	悍	惺	憬	悝	怛	愠	悭
nk	避	壁	辟	臂	譬	劈	忡	璧	愕
nl	惭	翼	愣	悃	心连心	快车道	惭愧	忧国忧民	异国风光
nm	届	刷	恫	惴	恺	惘	惆	恻	怏
nn	已	书	己	快	局	乙	忆	尸	羽
no	屡	慷	屎	惦	慵	屡屡	慷慨	惦记	屡次
np	忱	惋	恽	异军突起	司空见惯	惋惜	居安思危	发祥地	收视率
nq	懈	惚	恂	以色列	迅猛发展	必然会	展销会	必然趋势	必然是
nr	怕	愧	惶	忻	忾	发挥了	蛋白质	发挥作用	发扬光大
ns	怵	憷	必要的	尽可能	那样的	必要性	尽可能地	必要条件	以权谋私
nt	必	发	性	改	属	尾	履	悔	虱
nu	习	买	飞	屏	悦	憎	憧	悯	惮
nv	恨	慨	忉	怊	尻	收录机	尽如人意	慨叹	恰如其分
nw	惟	恰	怜	愉	戳	戮	翟	怆	憔
nx	惯	尼	屁	怫	已经成为	已经开始	已经形成	以经济建设为中心	已经完成
ny	心	以	尽	忙	惊	尺	迟	翠	恼
oa	度	席	烧	煤	炼	烘	遮	粪	庶
ob	籽	邝	鬯	底子薄	庭院经济	廕	廰	灺	炪
oc	序	烃	糅	粑	糁	序列	序幕	序号	序言
od	类	庆	糊	烦	庞	庵	燎	炻	粝
oe	粗	庾	爝	应用程序	应用软件	应用于	应用研究	应用技术	粗放
of	庄	烤	灶	糯	炜	庑	庋	广域网	庄严
og	业	精	炳	糟	凿	炖	粳	邺	黻
oh	店	粘	焯	店铺	粘贴	店主	粘连	店家	店堂
oi	应	炒	＋	－	×	÷	∵	∴	±
oj	烛	爆	焊	煜	廛	熳	㎎	㎏	㎜
ok	燥	炽	炽热	废品率	炽烈	废品收购	火中取栗	燥热	燥动
ol	烟	库	煨	库存	烟草	烟台	火车站	烟尘	烟雾
om	庙	灿	炯	籼	腐败现象	灿烂	业内人士	煤炭工业	腐败分子
on	断	废	麟	鹿	廖	熠	炔	麝	麂
oo	火	糖	炎	糠	剡	焱	郯	火箭	火星
op	迷	熔	烷	煊	粽	精神文明建设	数字化	精神文明	迷信
oq	底	燃	炮	焰	炊	灼	焕	粼	遴
or	煌	烯	粕	庳	数据库	数据通信	摩托车	数据处理	数据库系统
os	灯	床	麻	磨	摩	魔	靡	糜	麾
ot	庭	炸	熄	糙	烁	烙	烽	糗	糌
ou	料	粒	烂	廉	糕	燧	焙	焖	烊
ov	数	康	唐	庸	庚	娄	赓	煺	数据
ow	府	粉	座	腐	鹰	焓	烨	膺	煅
ox	庇	糨	庀	庇护	灯红酒绿	粗纤维	断绝关系	断线风筝	庼
oy	广	米	粮	炉	粹	廊	廓	炕	煽
pa	宽	寨	塞	赛	寒	宦	謇	寞	骞
pb	字	实际上	字符	实际情况	突出贡献	字体	实际的	实际问题	实际行动
pc	实验室	宏观调控	宏观经济	客观上	宏观管理	客观规律	灾难性	客观条件	客观存在
pd	害	割	寄	宏	寡	宠	豁	寮	宸
pe	农	宜	农业	农民	农村	农户	农药	家用电脑	农技
pf	守	完	宗	冠	寇	完成	完善	完全	冠军
pg	定	家	写	富	室	宝	宇	宣	寅
ph	官	寂	逭	官兵	官员	官方	官司	初具规模	寂寞
pi	宵	被誉为	农学院	初学者	客流量	宪法规定	空洞的	家常便饭	宵禁
pj	审	宴	寓	冥	幂	审议	审查	审计	审批
pk	宫	实践证明	实践中	宝贵的	实践经验	家喻户晓	宝贵财富	宫廷	宝贵的经验
pl	军	郓	寰	皲	军事	军队	军区	祖国的	军人
pm	宙	初见成效	穷山恶水	穷则思变	穿山越岭	视同儿戏	神丹妙药	视同路人	冚
pn	密	蜜	寥	寐	寤	甯	宓	廴	密切
po	灾	灾区	农业科技	农业生产	灾害	农业部	农业技术	灾难	灾民
pp	之	之间	之一	之后	之中	之前	之外	之路	之际
pq	冤	宛	剜	鸩	塞尔维亚	宛如	农贸市场	安然无恙	冤枉
pr	宾	之所以	宾馆	实质性	实质上	空气污染	宾主	寄希望于	宣誓就职
ps	宁	宋	农村经济	宁夏	宁波	农村改革	宁静	安哥拉	宁可
pt	客	额	宪	牢	宅	客户	客人	客观	宪法
pu	实	被	初	补	袖	裕	裤	衬	宰
pv	安	案	宄	安全	安装	安排	案件	安徽	安置
pw	空	究	容	突	察	穿	穷	窗	窝
px	它	它的	它们	初级阶段	神经系统	初级产品	神经衰弱	家乡人	守纪律
py	社	神	视	福	祖	礼	祥	祝	禄
qa	错	氏	昏	钳	锚	钜	桀	邸	镬
qb	迎	怨	锰	镊	鸳	锕	铒	钌	眢
qc	色	勾	铎	钗	钯	色彩	针对性	色情	色泽
qd	然	危	铸	詹	钛	钴	锲	镣	钸
qe	解	角	触	锄	钥	蟹	斛	觥	觞
qf	钱	针	镇	铐	镭	锗	钍	铑	针对
qg	印	鲜	鲁	鱼	铺	钙	钝	鳞	鲍
qh	外	钻	钼	钋	铍	外国	外部	外长	外交
qi	销	尔	逃	锁	兆	钞	铛	玺	迩
qj	旬	锡	龟	钊	锂	铿	郇	锟	锞
qk	名	象	够	钟	免	句	锅	铝	勉
ql	甸	链	钾	锣	锢	镯	锶	铟	钿
qm	负	钢	铜	钠	铀	钡	奂	铠	铡
qn	饭	包	馆	饱	乌	蚀	饮	饰	饥
qo	炙	镀	镰	镂	镛	镳	锬	镤	钬
qp	锭	铵	镓	夤	铊	镔	镲	镩	金字塔
qq	多	金	铭	钦	钩	钧	钓	钨	铮
qr	铁	忽	锦	勿	匆	匈	铂	锨	铢
qs	钉	钵	镖	镡	钶	锦标赛	多样化	多样性	多极化
qt	儿	犯	独	猪	锋	猛	狂	狗	狠
qu	匀	镜	锐	锌	铲	镁	锑	锏	镨
qv	争	银	急	键	皱	煞	邹	刍	铷
qw	欠	铅	锻	锥	铃	铧	锉	钒	铨
qx	锴	镄	镪	错综复杂	钢结构	铺张浪费	久经考验	钢丝绳	外引内联
qy	久	留	贸	岛	鸟	镶	卵	勺	镑
