AAA	工	菚	葡萄牙	工期	工匠	恭恭敬敬	花花世界	工藝	工區
AIP	莐	落空	落實	鑒賞家	薄禮				
AIQ	萢	茫然	䓋	䓜					
AIR	蒎	萡	落后	堅決反對	落戶	堅決製止	堅決擁護	醫治無效	堅決打擊
AIS	菏	莯	薸	藫	薄板	落榜	范本	萍水相逢	匯票
AIT	落	藩	萿	落入	薄片	薄利	落第	落後	匯入
AIU	汞	䒕	蓱	艾滋病	艾滋病毒	落差	薄冰	觀測站	臨淵羨魚
AIV	菬	葏	蒅	蓡	薓	薻			
AIW	匯	蒞	莈	蒤	蕍	虃	范例	落伍	匯集
AIX	薄弱	匯編	匯總	堅決貫徹	堅決維護	堅決糾正	萍鄉	落網	薄紙
AIY	茫	蒗	蓅	薃	范文	匯率	斯洛文尼亞		
AJA	蓽	萌芽	墓葬	或明或暗	若明若暗	斯里蘭卡	臨時工	草藥	萬萬
AJB	蕞	划出	邁出	緊日子	昔陽				
AJC	萬能								
AJD	莫	幕	墓	慕	暮	募	驀	摹	蟇
AJE	萌								
AJF	昔	䒤	草	蒔	荲	草地	草坪	墓地	郾城
AJG	萬一	萬事	臨時政府	萬惡	䕎				
AJH	㓚	皵	萺	莫非	莫非	草皮	惹是非	惹是非	萬歲
AJI	划清	萬源							
AJJ	菖	剒	蕌	昔日					
AJL	蔓	蒀	划界	草圖					
AJM	萬	邁	躉	勱	蠆	萬山	䖁	䘍	
AJN	臨時性								
AJO	草料	幕府	萬榮	草叢					
AJP	逪	草案	划定	墓穴	萬安	萬寧	摹寫		
AJQ	葛	慕名	暮色	草包	萬象	萬象	䓪		
AJR	斮	茰	募捐	幕后	暮年	暮气	萬戶	萬年	草擬
AJS	菒	菓	草木	草根	草棚	鵲橋			
AJT	葃	虄	蔓延	萌生	划算	划入	草稿	划船	划艇
AJU	邁開								
AJV	郾	匽	鶠	莫如	草書	㰽			
AJW	鵲	划分	募集	摹仿	萬人	萬餘	邁進	萬分	萌發
AJX	菎	萬頃	萬貫	䒶					
AJY	草率	草房	萬方	莫讓					
AKA	勤苦	艱苦	艱難	艱巨	區區	勒緊	共患難	勸戒	
AKB	葺	蕺	革除	鞭子	靶子	勸阻	歡聚	艱險	莊嚴承諾
AKC	勤務	鑒別能力	䓃						
AKD	叵	戓	勤奮	區長	觀感	蘄春	區別不同情況	難友	
AKE	莂	難受	歡騰	勤學	勤懇	歡蹦亂跳	勸架		
AKF	革	難	韆	鞦	勒	艱	鞋	歎	鞭
AKG	勤	或	惑	覲	堇	鄞	懃	戜	斳
AKH	匱	蕢	莡	蕗	區縣	難處	鄞縣	莒縣	勸止
AKI	苦口婆心	歐洲	觀測	觀賞	觀光	難當	甌海	難測	
AKJ	或是	歐盟	難題	緊跟時代	歡暢				
AKK	觀	區	歡	歐	勸	毆	甌	鷗	萼
AKL	觀眾	觀點	難點	舊中國	難買	惑眾	區別輕重緩急		
AKM	蒷	鞍山	燕山	燕山	難過				
AKN	勤快	難以	難民	難怪	歡快	區屬	難懂	歡心	臨戰狀態
AKO	鞭炮	難度	勤勞	歡慶	觀摩	歡度	區別對待	甚囂塵上	
AKP	其中之一	觀察	觀禮	歡宴	難容				
AKQ	勤勉	難逃	歡迎	難免	鞍鋼	難解	難逃	勸解	
AKR	觀看	歡樂	毆打	難看	歡欣	鞭撻	難找	鑒別手段	
AKS	切中要害	燕麥	燕麥						
AKT	鞭策	鞠躬	鞭笞	區委	匱乏	難得	歡笑	勸告	觀後
AKU	燕	嬊	酀	鷰	革新	燕北	燕北	歐美	艱辛
AKV	區劃	難忍	難尋	勸退					
AKW	荶	蓶	革命	勒令	觀念	區分	勤儉	難保	七中全會
AKX	韁繩								
AKY	燕京	燕京	或許	難忘	難於	觀望	勸說	難為	難說
ALA	蔮	基因工程	苦思苦想	世界觀	蓮花	㔴	䔬		
ALB	蘻	匣子	苗子						
ALC	藣								
ALD	茵	蒽	蘮	世界盃	世界盃賽	世界盃足球賽	世界大戰	世界歷史	世界大賽
ALE	莮	菌肥							
ALF	苗	蓒	薗	夢境	䕉	䕸			
ALG	葨	世界政治多极化	萬眾一心	苗頭	世界形勢	世界政治多極化			
ALH	世界上	世界眼光	夢見						
ALI	世界水平	世界潮流	臨界溫度						
ALJ	莗	世界時	世界日報						
ALK	匣	茴	花園口	英國路透社					
ALL	藟	蘲	蘽	虆	苗圃				
ALM	蕒								
ALN	葸	世界性	世界屋脊	世界局勢	欺軟怕硬				
ALP	夢	蓮	甍	瞢	薨	薎	蘉	鄸	顭
ALQ	鹋	薥	世界多极化	世界銀行	世界貿易組織	世界錦標賽	世界多極化	花團錦簇	
ALR	蔪	世界的	世界舞台	世界舞臺					
ALS	世界杯	苗木	夢想						
ALT	菌	世界各地	世界第一	世界和平	菌种	世界各國	世界先進水平	世界衛生組織	世界範圍
ALU	蔨	英國首相	世界聞名	蘿北	世界關貿總協定				
ALV	藪	蔞	匭						
ALW	苬	蒕	鶓	世界人民	世界人口	世界領先地位	苗條		
ALX	蘿	蔂	世界經濟	世界紀錄	夢幻	夢鄉	世界經濟全球化		
ALY	藅	苗族	世界文化	世界市場	世界語	夢話			
AMA	蕽	共同基金	英華	䒼	䓦				
AMB	工農聯盟								
AMC	英勇								
AMD	英	蘴	鶧	英雄	共同愿望	共同研究	共同願望	花崗石	共同奮鬥
AME	蓇	賢內助	貢覺	䕧					
AMF	苖	苒	覯	遘	冓	斠	顜	英寸	英才
AMG	茼	英烈	共同理想	共同致富	工農一體化	共同責任	䔇		
AMH	匝	繭	萜	顢	芇	貢獻	共同目標	㒼	
AMJ	荝	萴	英里	英明	荒山野岭	荒山野嶺			
AMK	苘	貢品	貢嘎						
AML	英國	共同點							
AMM	蘡	英山	共同體	花崗巖	貢山				
AMN	萵	慐	薖	英尺	共同性	䒻			
AMO	工農業總產值	工農業	工農業生產	工農業產品	工農業生產第一線				
AMP	共同富裕	共同完成	共同社	共同之處					
AMQ	英名	英鎊							
AMR	共同推出	共同提高	英制	工農兵	英製	䒽			
AMS	英模	英杰							
AMT	共同利益	英德	共同繁榮	共同簽署	功敗垂成				
AMU	貢	菵	英姿	共同關心的	共同關心	工農差別			
AMV	共同努力	工農群眾	莫過如此						
AMW	芮	斢	莔	萞	鷬	黅	黆	黇	黈
AMX	共同維護	共同綱領							
AMY	英文	英方	英豪	英語	莫過於	共同市場	苦肉計	䒟	
ANA	苠	蔬菜	巨著	巨匠	基層工作				
ANB	芑	苦心孤詣	䓛	䢹					
ANC	難以預料	世態							
AND	巨	巨大	世面	世故	堅韌不拔	茁壯成長	難以克服	恐懼感	
ANF	蔚	藯	巨款	基層幹部	難以達到	䒖	䒭		
ANG	巨型	世事	恐怖事件	巨頭	難以理解	基層政權	䒒		
ANH	蔬	莊	蔣	葭	匨	荍	葿	蕸	蘠
ANI	基層黨組織	恐怖活動	戈壁灘	莊浪	莊河	難以澄清			
ANJ	螶	巨野							
ANK	蘗	葦	薜	甘居中游	莊嚴	基層單位	攻心戰	攻心戰術	甘居中遊
ANL	世界	莊園	巨輪	難以置信					
ANM	貰	勚	勩	巨幅					
ANN	蕊	乬	巪	蘂	警惕性	甘心情愿	難以避免	恐懼心理	舊習慣
ANO	巨鹿	難民營							
ANP	迣	世家	巨額	基層社	難以完成				
ANQ	蔚然	難以解決	世貿	匠心獨具	㰥				
ANR	歡快的	驚慌失措	驚惶失措						
ANS	枼	難以想象	䢡						
ANT	苾	荱	芯片	莊稼	莊重	驚心動魄	難以自拔	恐怖行動	蘇尼特左旗
ANU	芯	荬	世道	巨資	世間	世襲	恐怖襲擊		
ANV	世	基層建設	難以忍受						
ANW	蓼	芵	藋	巨人	世人	世代	恐怖分子	世俗	巨貪
ANX	苨	世紀	基層組織	巨響	苦心經營	恐怖組織			
ANY	忒	苡	蘹	巨商	世交	巨變	恐怖主義	難以為繼	難以忘懷
AOA	蔗	蓆	工業基地	工業區	工業基礎	工業革命			
AOC	勤勞勇敢								
AOD	蓭	薠	蘱	萎靡不振	臥床不起	工業布局	工業原材料		
AOE	蕿	薦舉							
AOF	工業城市	觀摩教學							
AOG	薱	勤勞致富	䕺						
AOI	工業污染	觀摩演出	工業淨產值						
AOJ	蔊								
AOK	工業品	工業戰線							
AOL	工業界	工業園	工業國家	工業國					
AON	薦	蔍	薼	藨	蘪	工業局			
AOO	菼	藀	敬業精神	工業廢水	工業廳	惹火燒身	䑞		
AOP	蒾								
AOQ	菧	䓎							
AOR	䕇								
AOS	蘑	蘼	蔴	藦	荒唐可笑	䕷			
AOT	工業生產	勤勞智慧	䕰						
AOU	炗	苂	薕	工業部	工業部門				
AOV	菮	蓎							
AOW	蓙	工業化	工業企業	觀摩會	䕠				
AOX	工業總產值	工業經濟							
AOY	工業產值	工業產品	臨床試驗	工業效益	䕲				
APA	藆	蒙蔽	切實落實	蒙難					
APB	茡	緊密聯繫	蒙陰						
APC	莫之能御	蒙騙	莫之能禦						
APD	菪	藔	蒙古	堅定不移地	堅定不移	其實不然	藍寶石		
APE	萓	藛	蒙受	觀察力	切實加強	觀察力	䒿		
APF	莞	蔻	氋	萗	蒄	蔲	鸏	鹲	蒙城
APG	萱	荢	萣	蔩	薲	藼	落實到	觀察到	落實到人
APH	菅								
API	蒙混								
APJ	蓂								
APK	觀察員	監察員							
APL	葷	緊密團結							
APM	蒙山	攻守同盟	堅守崗位	巨額賠償					
APN	蔤	薴	藌	警察局	夢寐以求	落實情況	堅定性	切實履行	監察局
APO	萬家燈火								
APP	觀察家	切實安排							
APQ	菀	蒬	切實解決	䒞					
APR	堅實的	切實抓好	堅定的信心	䓨					
APS	苧	蒏	切實可行	監察機關	緊密配合	黃鶴樓	其它相關問題		
APT	蒙自	鑒定委員會	監守自盜						
APU	芝	監察部	觀察站	䔂	䕣				
APV	荌	䒯							
APW	蓉	蓿	茓	葖	蒮	藭		鑒定會	堅定信心
APX	緊密結合								
APY	鑒定證書	䔃	䔗	䕐					
AQA	蠶	芪	兓	朁	茋	荈	鬵	葡萄	菊花
AQB	苑	茒	葾	蒭	蘇聯	帶隊	驚險	帶子	䒢
AQC	芶	緊急通知	蠶桑	驚駭	歡迎參加	歡迎參觀			
AQD	薝	警犬	茫然不解	帶有	驚奇	蔚然成風	慕名而來	臨危不懼	警鐘長鳴
AQE	萏	葪	蔛	薢	警力	警力	戒急用忍	苟且	敬愛
AQF	菳	敬老	驚喜	警報	帶走	帶電	驚蟄		
AQG	葡	蔔	茚	帶頭	緊急救援	萬象更新	帶勁	帶刺	歡迎惠顧
AQH	敬獻	薊縣	㔰						
AQI	敬酒	歡迎光臨	萬金油						
AQJ	荀	黃金時間	黃金時代	蘇日					
AQK	敬	驚	警	擎	茗	菟	檠	憼	莬
AQL	敬畏	警界	帶回	警車	驚異	䓒			
AQM	萯	藑	苟同	蘇丹	舊金山	花名冊	敬贈	黃金週	
AQN	苞	警惕	警民	緊急狀態	帶狀	驚慌	驚愕	驚心	驚惶
AQO	菊	蘇	薊	蘚	炁	敬業	䔡		
AQP	帶	慸	遰	警察	警官	警官	苟安	緊鑼密鼓	敬禮
AQQ	茤	警句	警鐘	黃色錄相	䔙				
AQR	萄	芴	匢	匫	茐	著名的	緊急措施	蕩然無存	帶兵
AQS	匹配	警醒	世外桃源	帶來	驚醒	蘇醒	著名權		
AQT	蕕	荻	茆	莥	蕏	警告	敬重	敬告	警笛
AQU	芕	敬意	帶病	蘇美					
AQV	匹	兂	旡	緊急召開	黃色書刊				
AQW	芡	蕵	鴄	敬佩	敬仰	著名人士	匿名信	敬候	帶領
AQX	基金組織	帶給	世貿組織	蠶絲	工貿結合	蘇繡			
AQY	芍	匛	蒥	藰	警方	蘇州	驚訝	驚詫	敬請
ARA	若無其事								
ARB	葼	觀看了							
ARC	葩	苽	萚	蓏					
ARD	菝	莃	落后面貌	堅持不懈	緊迫感	堅持原則	攻無不克	堅持不渝	䔤
ARE	蘤	藥用	藥膳						
ARF	苩	荴	歡欣鼓舞	堅持真理					
ARG	茊	茩	葟	蒱	蓵	藥理	萬無一失	萬年青	甘拜下風
ARH	㔸	䕫							
ARI	茱	莏	葲	薬	蕪湖	藥水			
ARJ	芹	苅	䔶	䔾					
ARK	匠	藥品	䔱						
ARL	蕪	蘀	堅持四項基本原則	蕩氣回腸					
ARM	菗	蒛	䔘						
ARN	芞	匠心	緊迫性						
ARO	藥廠	藥店							
ARP	菦	世乒賽	堅持實行						
ARQ	蒐	蔸	菂	菢					
ARR	藠	落后的	其樂無窮	䒝	䓆				
ARS	蔱	藥材	堅持標準	䓭	䔌				
ART	萆	葀	藥物	堅持和完善					
ARU	艾	菈							
ARV	萔	蒑							
ARW	苵	蓷	鴎	鴱	匠人	七折八扣	共擔風險	荒無人煙	七手八腳
ARX	藥	藥費	堅持統一						
ARY	薂	藥劑	藥方	藥房	苛捐雜稅				
ASA	藲	基本功	基本觀點	萊蕪	基本工資				
ASB	帶來了	萊陽	基本職能						
ASC	基本矛盾								
ASD	基本原理	莫可奈何	基本原則	䕩					
ASE	基本力量								
ASF	茜	荰	蓕	蔈	薽	基本教育	基本規律	䓩	䓰
ASG	苯	蘸	莤	蓜	基本形成	苛求	基本理論	基本事實	䔯
ASH	葙	基本上	黃梅戲						
ASI	基本法	花樣滑冰	基本常識	䔠					
ASJ	艼	蕈							
ASK	苛	莕	基本路線	䔅					
ASL	基本思想	基本國策	基本點						
ASM	基本內容								
ASN	基本情況	蒼松翠柏							
ASO	基本精神								
ASP	萙	基本完成	基本實現	荷槍實彈	萊塞				
ASQ	基本金	基本解決							
ASR	菥	基本的	基本制度	花枝招展	帶來的	基本製度	熙來攘往	䖇	
ASS	菻	基本要求	草本植物	划框框	萊西	基本權利	䔁		
AST	基本特征	基本知識	基本特點	花樣翻新	歡歌笑語	花樣繁多	䔦		
ASU	㭉	基本問題							
ASV	葽	基本建設	基本建設投資						
ASW	萊	菘	藮	基本條件	基本任務	基本保證	䕆		
ASX	草木皆兵	基本經驗	基本綱領	基本結束	基本結論				
ASY	蒁	苛刻	基本方略	基本方式	基本方針	萊州	蓋棺論定		
ATA	醫藥	攻堅	工程項目	蓬萊	黃牌警告	七千萬			
ATB	莠	攻陷	醫院	帶動了	菜籃子	工程隊			
ATC	醫務								
ATD	醫	蓬	翳	蕎	嫛	悘	殹	毉	瑿
ATE	蒩	蒰	醫學	醫用	蓬亂	䓚	䕝		
ATF	芊	莛	芼	菙	蓗	薐	蓬勃	欺行霸市	攻勢
ATG	董	薰	荇	苼	薫	蘍	董事	攻下	七千万
ATH	蓰	匴	苲	莚	蒠	攻占	某种目的	工程處	警告處分
ATI	葕	蕱	共和党	落入法网	蓬溪	共和黨	醫治	藝術水平	落入法網
ATJ	莉	萫	藒	䔣	䔧				
ATK	茖	莵	萂	萭	藝術品	鴉片戰爭	醫囑	警衛員	緊箍咒
ATL	蓖	蔥	共和國	攻擊	藝術團	頤和園	䒸		
ATM	薇	薁	藢	切身體會					
ATN	藝術性	落後狀況	䒗						
ATO	蕃	萩	難得糊塗						
ATP	攻守	蓬安	藝術家	菲律賓	䒦				
ATQ	藜	蘅	菞	蔾	蘒	蘓	葉利欽	薄利多銷	䔟
ATR	莪	蓹	薭	蘌	工程兵	攻打	落後的	工程技術人員	工程質量
ATS	蓬松								
ATT	蕧	蘒	切身利益	攻入	某种程度	醫生	藝術節	醫術	醫德
ATU	䒘	䒩	苳	苸	萪	蕛	工程部	工程塑料	醫療
ATV	萎	萟	葎	蘶	工程建設	鞠躬盡瘁	醫書	鞠躬盡瘁死而後已	䓳
ATW	蓯	蒣	蘈	工程公司	苦行僧	工程師	醫師	藝術創作	藝術作品
ATX	蘩	莓	萎縮	蔥綠	切身經歷				
ATY	攻	藊	攻讀	藝術享受	醫護	藝術設計	藝術交流	功利主義	
AUA	荓	攻關項目	蘭花	菩薩	藏龍臥虎				
AUB	蒴	醫療隊							
AUC	革新能手								
AUD	菤	基准面	臥病在床	邪門歪道					
AUE	蘢	葥	蕑	藙	花前月下				
AUF	苙	菛	莘	荘	蓤	萬美元	華北地區	蘭考	蘭坪
AUG	蘭	葁	蒫	蓔	苦差事	醫療事故	頤養天年	䓺	䕏
AUH	莘縣								
AUI	薪水	蘭溪	工資水平						
AUJ	薏	萻	蔁	蕫	蕳	㔶	䔔		
AUK	菩	莌	蔀	蔄	䕡				
AUM	蔽	虌	歐美同學會						
AUN	蕄	工資改革							
AUP	莫逆之交								
AUQ	茨	蒟	薋	薪金	巧立名目	工資外收入			
AUR	藱	工資製度	工資製	工間操					
AUS	薪	藽	蘭西	䔵	䔿				
