AA	式	葉	藍	芽	戒	盞	戔	匿	苷
EY	臍	膀	肪	腋	臃	胲	膪	朖	朜
FA	域	塔	霸	堪	卉	堰	霰	賁	堞
FB	地	圾	邗	凷	垜	壣	壭	逇	雭
FC	去	支	埃	霧	魂	劫	翅	盍	刦
FD	城	需	堿	震	坯	垮	靂	塬	垅
FE	協	霓	霾	埒	堋	坥	垺	埓	埰
FF	土	幫	封	雲	款	圭	填	壩	寺
FG	二	十	士	雨	埔	博	坪	垣	埂
FH	起	直	真	走	越	武	超	趙	趕
FI	示	未	釐	犛	霑	霄	霈	嫠	霪
FJ	電	幹	榦	場	朝	坦	井	刊	韓
FK	喜	遠	臺	露	鼓	靈	袁	鼕	吉
FL	賣	載	雷	戴	覿	塄	堌	堺	堽
FM	南	坍	坰	垌	堝	塏	圸	坱	垻
FN	聲	壽	霞	燾	馨	霹	磬	罄	圯
FO	赤	赫	塘	郝	赦	赭	壙	螫	赧
FP	索	穀	殼	壺	勃	懿	坨	塚	壹
FQ	朮	元	均	頑	霤	坎	雹	黿	坻
FR	垢	塊	坂	圻	坼	埤	坬	坵	堫
FS	霜	栽	霖	坷	堙	圢	塛	墂	墰
FT	都	者	老	教	煮	孝	霆	耄	耆
FU	增	報	達	境	執	培	墊	摯	霎
FV	雪	垠	埽	埭	垏	埐	堖	壗	超媒体
FW	規	熱	勢	零	替	堆	截	霍	埠
FX	坳	坶	刬	坲	堟	堦	塡	毐	霛
FY	裁	壞	壤	坑	壇	坊	雯	墩	壕
GA	形	型	刑	弄	邢	琪	瑾	瑛	璜
GB	頓	屯	珥	旾	瑘	瓍	迍	邨	事出有因
GC	到	至	晉	丟	瑪	戩	臻	郅	玧
GD	天	吞	琦	瑚	頊	忝	奣	幵	昋
GE	青	逐	靜	豬	甫	敷	靛	豕	靚
GF	于	亞	惡	玩	迂	盂	堊	玕	玞
GG	五	一	王	琴	瑟	琢	琶	琵	玨
GH	下	現	政	正	玻	焉	璿	亙	璨
GI	求	救	瑣	裘	琺	逑	慦	珖	珰
GJ	理	東	更	專	甦	惠	丌	瑁	琨
GK	事	頭	整	速	副	束	豆	融	逼
GL	環	柬	璉	卌	玾	珚	琾	瓃	畺
GM	麗	兩	再	勣	責	遭	刺	瑞	丙
GN	攷	瓦	瑋	瑕	戉	珉	琚	丂	夨
GO	璞	瑭	琰	璘	鄑	政府机构	王府井	政府工作	政府机构改革
GP	琛	琬	琮	琿	琓	琔	琯	瑄	瑏
GQ	列	死	烈	裂	殘	殊	殖	瓊	熬
GR	珠	碧	瑰	珀	珤	琋	琕	瑔	瑝
GS	末	琳	珂	玎	亍	唜	琜	瑮	璴
GT	玫	瓚	珩	珞	璁	玝	珄	珗	珘
GU	平	璋	瓏	亊	刾	慭	珜	珶	琣
GV	妻	勁	巰	頸	剄	瑙	逕	坙	巠
GW	珍	爾	珮	玲	瑜	璽	邇	玳	玢
GX	互	素	毒	夷	璣	纛	玭	瑎	瑑
GY	玉	班	璃	斑	瓖	瑯	琉	玟	玊
HA	處	劇	獻	慮	彪	矇	虛	虎	戲
HB	齡	齣	齒	齲	齷	齜	齟	齦	齪
HC	皮	頗	眸	皰	眙	攴	皯	皹	瞲
HD	非	瞭	歲	悲	輩	裴	韭	翡	蜚
HE	肯	瞬	睜	睬	睨	瞍	眀	瞹	肯定
HF	歧	睹	睦	瞌	瞋	眭	歭	盰	盶
HG	上	鬥	督	卡	睛	鬧	叔	凸	鬨
HH	止	目	步	頻	瞿	矍	氍	顰	丨
HI	縣	懸	眇	歩	睄	矘	上海市	非常重要	柴油机
HJ	桌	卓	児	眒	睅	睗	睲	睼	逴
HK	乩	覘	奌	敁	梷	眖	睈	睊	瞆
HL	鹵	睏	鹹	鹼	鹺	卥	盀	睤	瞜
HM	貞	卣	卨	欳	眏	眮	睓	睭	逌
HN	鼎	眠	凹	矚	瞰	兕	県	眤	睱
HO	瞇	瞵	歯	睒	瞊	瞨	矌	齢	
HP	瞎	壑	眈	瞑	睿	叡	壡	敹	眝
HQ	餐	見	瞻	眺	粲	眵	歺	盷	眂
HR	睥	盺	眅	眣	眽	睎	瞃	瞴	矈
HS	盯	瞟	睞	瞫	盯住	紫禁城	桌椅板凳	盯梢	上述問題
HT	睡	瞅	眨	歬	歱	盵	眊	睋	瞛
HU	瞳	矓	睇	眫	眹	眻	睠	瞕	瞤
HV	眼	眧	睩	睷	眼睛	眼前	眼光	眼下	眼科
HW	具	瞧	盼	瞪	睽	瞼	睢	凣	盻
HX	此	些	柴	紫	雌	訾	觜	貲	眥
HY	眩	盳	盿	眆	眿	睙	睟	瞓	瞝
IA	江	滿	漢	濛	洪	港	潛	溝	淺
IB	池	氾	涵	滁	洱	灄	凼	泐	汓
IC	滲	治	湧	汊	慂	汿	沀	沇	洠
ID	尖	源	減	湖	滅	潔	湊	瀝	淹
IE	肖	削	淨	浮	滔	潟	淫	逍	沮
IF	法	渤	潮	汗	澆	濤	汁	滇	瀆
IG	光	清	溼	汙	輝	添	耀	汪	沫
IH	小	波	涉	婆	淑	滷	濾	渺	瀕
II	水	消	沙	淌	娑	淼	裟	鯊	挲
IJ	湯	浬	混	濕	盪	漫	洩	渴	燙
IK	潰	況	沖	澡	涓	潞	浞	漶	呇
IL	溫	漸	澤	濁	渭	泗	涸	漣	洄
IM	油	測	濃	尚	滑	洞	敞	濺	湍
IN	泥	決	漏	澱	汛	渥	泌	沁	潺
IO	淡	渡	澇	濂	漉	溏	瀵	瀅	瀠
IP	當	黨	常	深	溶	掌	沉	堂	賞
IQ	沒	泡	漁	盜	淘	洶	漪	渙	瀏
IR	派	激	汽	浙	淆	沂	泊	湃	浠
IS	河	酒	漆	漂	湘	淋	渣	潭	汀
IT	少	活	海	省	洗	洛	浩	劣	澳
IU	洋	潤	滋	溢	泣	瀾	澗	溯	涕
IV	染	津	浸	溉	粱	汝	汍	沼	澀
IW	潑	準	沿	汎	塗	淮	澄	滌	浴
IX	漲	沸	瀰	溺	濰	泓	淥	澠	沘
IY	流	濟	液	洲	灣	浪	淚	滾	滴
JA	暴	畢	虹	蝶	蚜	蟆	蟒	暱	蜮
JB	最	蟶	蜢	昅	昢	曓	朂	虵	虸
JC	螞	蛹	蛑	昪	晙	蚆	蝃	蝚	螞蟻
JD	晨	暸	蝴	晟	蚌	蠣	蛄	蛺	蝽
JE	明	盟	蛆	曖	蜉	勗	螋	冐	晲
JF	時	早	野	曉	旱	曇	暑	昧	蠕
JG	量	是	題	旦	旺	晴	曬	匙	蛭
JH	申	冒	暢	曰	蜆	蠼	刂	晛	晫
JI	晃	螳	蛸	晄	曭	蝋	蟐	蟝	蟷
JJ	日	暘	晶	昌	蟲	蠱	蠍	曝	蜴
JK	蟬	蜈	冔	暺	曮	蚛	蜎	暴跳如雷	早中晚
JL	曙	螺	曼	蟈	蛔	螻	昷	曎	曪
JM	遇	映	愚	禺	蝸	蛐	蚋	蚺	蜩
JN	蝦	暇	虯	遢	曜	旸	暅	暐	曯
JO	曠	蠑	炅	螗	蠊	昿	晱	暽	曗
JP	暈	蛇	蜿	暉	晏	暄	螟	暝	晥
JQ	晚	易	昂	歇	剔	冕	遏	晁	曷
JR	蝗	蛛	晞	蚯	昕	蜱	昄	昳	晣
JS	果	顆	晰	杲	蚵	蜥	螵	夥	敤
JT	昨	昇	星	蜂	戥	晌	晦	蜒	蛾
JU	暗	蟻	蝤	昱	蟑	蚪	蛘	蜣	蟮
JV	照	蠟	昭	旯	妟	旫	曃	虭	蛁
JW	蛤	蛻	暹	蚣	晗	暌	蛉	蜍	蚧
JX	顯	蠅	蚓	蚍	蚴	蟣	昲	曊	曏
JY	景	影	蚊	晾	蛟	蝙	蠔	蛀	螃
KA	呀	囌	嘆	哎	嚥	嘩	噶	嘔	嘶
KB	啊	吸	吼	叩	咄	嗤	戢	囁	吇
KC	吧	嗎	唉	嗓	唆	邑	吮	嗵	啜
KD	順	喫	喊	嚦	咕	嘎	呃	吠	嘹
KE	另	咖	嚼	咀	鵑	噯	嗖	叻	剈
KF	噴	味	吋	吐	嚇	哇	嘲	鄙	嘻
KG	號	噁	噸	呈	啞	喇	逞	唔	咧
KH	中	路	跼	足	跟	貴	距	跑	踐
KI	吵	噹	嚐	哨	嗨	嗩	啵	咣	唦
KJ	雖	唱	喝	哩	呻	嗶	喁	嘬	呾
KK	嚴	品	戰	口	單	器	嵒	哭	串
KL	囉	嘿	嗯	嘍	喟	呷	囀	呬	唓
KM	員	勛	喘	嗣	吶	唄	嚶	噥	嘣
KN	叫	呢	哪	吳	呎	囑	叼	喔	唰
KO	嘛	咪	嘮	噗	吙	喥	嗻	嘃	噒
KP	喧	喀	嚀	噻	咤	嘧	嚓	啶	咜
KQ	兄	別	吹	喚	吻	嚕	哆	咆	啗
KR	史	啦	啣	啤	啪	嗥	呱	唏	哌
KS	呆	呵	叮	喳	嘜	噤	嘌	哂	啉
KT	呼	川	呂	哦	咋	咯	噢	嗅	唾
KU	嚨	噫	嗟	喑	嗌	吖	咩	噌	唼
KV	嘯	唧	叨	呶	哏	叧	吚	唚	嗈
KW	唸	哈	唯	鳴	啥	吟	喉	叭	喻
KX	喲	吆	嘰	咝	吡	叱	喙	吲	呦
KY	咬	嚷	哼	咳	吭	啼	嘀	唁	唷
LA	國	異	羈	軾	爴	罭	羃	羇	軭
LB	擊	繫	輒	囝	墼	檕	礊	罊	蟿
LC	罷	罵	輟	羆	囜	囼	圎	圗	畯
LD	因	固	恩	畸	軛	轱	囿	罘	畎
LE	男	胃	嬲	罝	罦	輗	輣	轁	男子
LF	點	黑	置	園	墨	默	署	疇	黔
LG	還	轉	團	車	輕	輔	輛	畏	輻
LH	四	罪	甲	罩	皿	轤	囗	罒	軙
LI	囦	塁	疂	眔	軣	輄	輎	遝	〇
LJ	輥	畼	罼	輠	輰	輵	輼	辒	黑暗面
LK	迴	圖	圓	輯	軹	軎	圚	廻	毄
LL	田	纍	轟	疊	壘	圜	圐	圛	壨
LM	軸	買	輞	圌	畘	軕	軜	軮	輖
LN	思	圍	軋	輾	罹	囻	疁	罠	罻
LO	轆	轔	疄	轐	轛	國營企業	國庫券	轉業幹部	國慶節
LP	連	轄	畹	畳	輐	輨	置之不理	置之度外	畹町
LQ	軟	輓	蜀	囫	劅	斀	斣	歜	畂
LR	暫	斬	塹	轢	軼	畈	鏨	槧	慙
LS	軻	町	甼	罧	輏	墨西哥	困境	困扰	思想政治工作
LT	轎	略	畋	輅	轷	囷	畧	畮	畽
LU	圈	畔	疃	罾	図	圏	畻	罤	罯
LV	數	軌	輜	婁	囡	軔	軺	圕	氀
LW	界	眾	輸	輪	鴨	囚	軫	囹	圇
LX	羅	邏	毗	轡	毘	羂	羄	軪	累累
LY	較	罰	轍	詈	囥	圁	圝	圞	甿
MA	曲	農	典	購	冊	賊	賤	嵌	刪
MB	岌	屷	岋	崡	嶐	貤	邖	郥	骨子里
MC	峻	貽	岜	峅	嵾	禸	賐	贂	峻岭
MD	央	耑	豐	岸	炭	艷	豔	賬	峽
ME	骨	體	髒	崩	嶼	髓	骸	骼	骯
MF	週	財	賦	彫	岐	賭	贖	冉	峙
MG	豈	同	凱	覬	豳	剴	賕	崠	賻
MH	由	幅	貝	貼	帽	帳	巾	幟	帕
MI	峭	嵴	埊	崉	巀	巌	汖	贘	峭壁
MJ	則	崑	賜	囬	崐	崵	崼	嵎	嵑
MK	巖	迥	貺	冋	岲	崿	嵓	嶉	嶯
ML	嶄	崽	岬	嶧	崮	嶁	崓	嵔	嶃
MM	山	崗	嬰	峒	鸚	岫	罌	屾	岀
MN	過	崛	岷	剮	嵋	咼	屺	乢	冎
MO	嶙	嶸	嶗	賧	嵣	嵻	嶪	嶫	巆
MP	迪	貯	崇	崆	岤	岮	峖	峵	嵱
MQ	贍	嶽	峋	岣	峁	岇	岉	岻	峗
MR	販	嵬	崤	岅	岓	岴	岶	崥	崲
MS	崍	岢	崧	崾	崊	嵀	嵖	嵿	嶘
MT	敗	內	峰	貶	巍	巑	賂	屹	嵊
MU	剛	賠	贈	岡	賺	罔	嶂	脧	嵯
MV	岧	贐	屶	屻	岃	岹	峍	峎	峮
MW	崙	肉	嶺	崔	嵐	岑	峪	賒	嶝
MX	幽	嶷	岪	岰	嵶	嵹	巓	幽默	幽默
MY	丹	嵩	彤	崞	賅	刐	峐	峕	峧
NA	展	民	懞	懂	惜	慌	殿	羿	愜
NB	敢	屈	懾	憨	屙	孱	忚	忣	憜
NC	怪	慘	怡	悛	忬	恈	悀	惙	愑
ND	居	恢	怖	憾	惰	悵	懨	怙	墯
NE	忇	怚	恊	愋	愮	愶	慀	慆	懓
NF	屆	迅	憤	慰	慎	屠	尉	怯	蝨
NG	那	情	司	屋	屍	悟	恆	悽	懶
NH	收	將	裝	狀	蛋	壯	獎	漿	眉
NI	尿	屬	遲	悄	屑	恍	犀	惝	劚
NJ	慢	惕	悍	惺	憬	悝	怛	丱	惃
NK	避	壁	違	臂	韋	韌	譬	劈	忡
NL	屢	翼	愣	慚	慍	懌	悃	乪	屇
NM	刷	恫	惴	愷	惘	惆	惻	怏	屃
NN	已	己	快	選	乙	羽	忌	巳	忸
NO	憐	慷	屎	惦	慵	惔	憦	懡	懭
NP	忱	惋	惲	屄	屪	悰	悺	悾	愃
NQ	懈	惚	恂	忯	忺	怉	怐	怟	恀
NR	怕	習	愧	惶	憮	忻	愾	忷	怢
NS	慄	怵	憷	忊	恓	惏	慓	憛	憟
NT	必	性	改	尾	履	悔	屜	悸	懊
NU	層	飛	憶	屏	憎	憧	憫	翌	悌
NV	恨	慨	惱	忉	怊	尻	妀	忰	怓
NW	惟	恰	悅	愉	戳	翟	愴	憔	懺
NX	慣	尼	屁	怫	怮	恉	悂	惤	愵
NY	心	以	懷	忙	翠	咫	悴	懍	忄
OA	度	廣	煤	烘	遮	庶	炬	糢	廝
OB	籽	廳	鬯	廕	廰	灺	炪	邩	底子薄
OC	序	糅	粑	糝	広	炲	焌	煣	熥
OD	類	糊	煩	廈	燎	炻	糲	煳	庬
OE	粗	燬	煖	庾	爝	廋	廫	烰	焩
OF	燒	廟	烤	廚	灶	糯	庋	庒	庤
OG	對	業	精	煉	叢	炳	糟	鑿	烴
OH	店	爐	粘	燦	廬	焯	庛	炶	爈
OI	廠	炒	焇	熦	爣	粆	糛	＋	－
OJ	糧	爆	煜	廛	熳	煬	庽	灲	炟
OK	燥	炾	焆	焒	煰	熉	燀	火中取栗	廢品率
OL	糰	庫	糞	燭	煨	庘	廔	廙	廤
OM	炯	廁	廮	炴	烔	烱	烿	焵	焹
ON	慶	塵	麟	鹿	廖	熠	炔	麝	麂
OO	火	勞	營	糖	榮	燐	炎	糠	熒
OP	迷	烷	煊	粽	廀	炨	烢	焢	焥
OQ	底	燃	鄰	炊	灼	煥	粼	遴	庖
OR	煌	烯	爍	粕	廡	庳	庍	庪	廆
OS	煙	床	磨	摩	魔	廂	靡	糜	麾
OT	庭	炸	熄	糙	燻	烙	烽	糗	糌
OU	料	粒	爛	廉	龐	糕	熾	燧	焙
OV	燼	康	唐	庸	庚	廄	賡	廱	煺
OW	府	應	粉	座	燈	廢	腐	鷹	焓
OX	庇	糨	庀	庼	廎	炥	煯	粃	粌
OY	米	粹	廊	廓	炕	煽	燉	炫	煸
PA	寬	寨	塞	賽	寒	宦	謇	寞	冪
PB	字	冣	字符	字体	字母	字母	字典	字形	突出了
PC	宻	寄予厚望	神圣不可侵犯	實驗室	神圣職責	實驗小學	家務勞動	實驗中學	家務活
PD	害	割	寄	宏	寡	豁	寮	宸	宕
PE	寫	宜	冝	冩	寀	寪	肎	宜昌	宜春
PF	守	完	宗	冠	寇	冡	冦	宑	宯
PG	定	富	室	憲	寶	賓	宇	宣	寅
PH	官	寂	逭	宐	寊	悹	鼏	官兵	官兵
PI	宵	寖	客流量	空洞的	宵禁	穿小鞋	憲法規定	實況轉播	家常便飯
PJ	宴	寓	冥	寔	覭	鄍	鼆	寓意	定量分析
PK	宮	宲	宺	初中生	守口如瓶	空中加油	實踐證明	實踐中	寶貴的
PL	軍	運	鄆	寰	皸	寠	顐	鶤	安置工作
PM	宙	冚	寷	穿山越岭	神農架	窮山惡水	窮則思變	補貼費	穿山越嶺
PN	密	寧	蜜	寥	寢	寐	寤	甯	宓
PO	冞	叜	宩	家庭生活	家庭教育	家庭影院	家庭美德	安度晚年	家庭暴力
PP	之	之一	之后	之中	之前	之外	之路	之上	之下
PQ	冤	宛	剜	鴆	冘	宨	寃	寏	惌
PR	冟	寙	之所以	空气污染	寄希望于	察看了	安排工作	寒气逼人	官兵一致
PS	宋	冧	宁夏	宁波	安哥拉	宁可	宁愿	宁肯	宁蒗
PT	客	審	額	牢	宅	宎	宒	宷	愙
PU	襬	裡	衹	被	複	初	補	袖	裕
PV	安	案	宄	宭	鞌	頞	鴳	安全	安排
PW	空	究	容	突	察	穿	窮	窗	窩
PX	實	宆	宖	寲	迱	它的	實力	實現	實施
PY	社	祇	神	視	福	祖	祕	禮	祥
QA	錢	錯	鑑	氏	昏	鉗	鏵	錨	鉅
QB	迎	皺	怨	錳	鄒	芻	鑷	鴛	錒
QC	色	勾	釵	鈀	鈗	鈶	鉾	銿	鋑
QD	然	危	詹	鈦	鈷	鍥	鐐	鈽	钚
QE	解	角	觸	燄	觔	鋤	蟹	斛	觥
QF	鐵	針	鎮	勻	鑄	銬	鐳	鍺	釬
QG	印	錶	鋪	鍊	鈣	鈍	鳙	鉦	匍
QH	外	鑪	鉆	鉬	釙	鈹	亇	夞	迯
QI	銷	逃	鎖	兆	鈔	頫	鐺	鏜	鼗
QJ	錫	銲	鑤	釗	鋰	郇	錕	錁	锝
QK	名	象	免	句	鋁	釦	勉	逸	兔
QL	甸	鏈	鉀	鑼	錮	鐸	鐲	鏤	鍶
QM	負	鋼	銅	鍋	鈉	鈾	鋇	奐	觴
QN	包	鋸	鈕	鐉	釔	鏘	鋦	鈮	鉍
QO	炙	鮮	魯	魚	鱗	鍍	鮑	鐮	魷
QP	錠	鎔	銨	鎵	夤	鉈	镲	鑌	镩
QQ	多	金	夠	銘	鉋	欽	鉤	鈞	釣
QR	錦	忽	勿	遙	匆	匈	鉑	锨	銖
QS	釘	鏢	錸	鐔	鈳	鈢	鉢	鉥	錰
QT	犯	獨	獲	鋒	猛	鑽	狂	狗	狠
QU	鐘	鏡	鋅	鏟	鎂	銻	锏	鐠	鑭
QV	銀	急	鍵	鏽	煞	銣	釹	錙	鋟
QW	欠	鎗	銳	鉛	鍛	錐	鈴	鑰	銼
QX	錄	鍇	鐨	鏹	匂	鈏	鈚	鈟	鉘
QY	久	留	劉	貿	鑲	卵	勺	鎊	鉸
RA	找	搆	措	描	摸	拒	搭	撒	攤
RB	攝	兇	扔	拯	拙	揶	扡	扱	挅
RC	把	反	抬	瓜	返	挨	揉	扠	摻
RD	振	希	拔	擾	掩	拜	拋	捧	拓
RE	攪	採	援	授	掙	捋	扐	劤	劧
RF	撓	持	技	盾	掛	扶	擣	扞	拷
RG	后	兵	皇	捕	抹	丘	捷	搏	揀
RH	年	看	據	排	掉	遞	爬	卸	扯
RI	泉	擋	抄	撐	捎	邾	挄	挘	挱
RJ	提	揚	揭	捏	撮	拽	刈	抻	抇
RK	損	操	捉	捐	揖	挹	撣	捌	抧
RL	無	擺	擇	舞	押	摟	撂	搟	擻
RM	製	缺	抽	罐	摧	缸	罈	攜	撾
RN	所	氣	挶	氧	握	戶	氫	氯	氨
RO	擴	撲	撈	搪	掂	摭	拡	捬	掋
RP	近	按	控	揮	迫	探	挖	搾	擰
RQ	換	的	擔	搖	扺	抱	挑	鬼	抑
RR	折	質	白	抓	哲	拍	撫	拆	掀
RS	打	殺	剎	撢	弒	揸	抲	拪	搮
RT	手	括	斤	播	插	拖	搬	挺	卑
RU	拉	接	揹	捲	撞	抖	拌	攔	攏
RV	掃	招	慇	拶	捃	扏	扨	拫	挦
RW	失	推	投	捨	搶	撥	拾	挫	搗
RX	指	批	樂	擬	拂	拇	揩	拗	掾
